Number of non‑zero bins: 812
Total bins: 209952
Fraction: 0.39%

#R=G=B, hence the colours are all gray to black

(np.int64(3), np.int64(27), np.int64(5), np.int64(26)) -> [14.323204 14.323204 14.323204]
(np.int64(3), np.int64(27), np.int64(16), np.int64(7)) -> [0.04075031 0.04075031 0.04075031]
(np.int64(3), np.int64(33), np.int64(11), np.int64(15)) -> [2.9796894 2.9796894 2.9796894]
(np.int64(3), np.int64(33), np.int64(11), np.int64(16)) -> [23.774038 23.774038 23.774038]
(np.int64(3), np.int64(33), np.int64(12), np.int64(15)) -> [0.79525423 0.79525423 0.79525423]
(np.int64(3), np.int64(33), np.int64(12), np.int64(16)) -> [2.7575676 2.7575676 2.7575676]
(np.int64(3), np.int64(34), np.int64(11), np.int64(16)) -> [20.545904 20.545904 20.545904]
(np.int64(3), np.int64(34), np.int64(11), np.int64(17)) -> [1.880714 1.880714 1.880714]
(np.int64(3), np.int64(34), np.int64(12), np.int64(16)) -> [7.7861147 7.7861147 7.7861147]
(np.int64(3), np.int64(34), np.int64(12), np.int64(17)) -> [0.44942987 0.44942987 0.44942987]
(np.int64(3), np.int64(35), np.int64(11), np.int64(17)) -> [21.935669 21.935669 21.935669]
(np.int64(3), np.int64(35), np.int64(12), np.int64(17)) -> [8.94488 8.94488 8.94488]
(np.int64(4), np.int64(0), np.int64(12), np.int64(17)) -> [5.351285 5.351285 5.351285]
(np.int64(4), np.int64(0), np.int64(12), np.int64(18)) -> [25.09612 25.09612 25.09612]
(np.int64(4), np.int64(0), np.int64(13), np.int64(17)) -> [0.11387591 0.11387591 0.11387591]
(np.int64(4), np.int64(0), np.int64(13), np.int64(18)) -> [2.497678 2.497678 2.497678]
(np.int64(4), np.int64(0), np.int64(16), np.int64(19)) -> [0.00220327 0.00220327 0.00220327]
(np.int64(4), np.int64(7), np.int64(12), np.int64(25)) -> [23.95174 23.95174 23.95174]
(np.int64(4), np.int64(7), np.int64(12), np.int64(26)) -> [6.7839437 6.7839437 6.7839437]
